标题,播放数,连接
『原创古风』编曲给音乐划上浓墨重彩的一笔,87万,http://music.163.com/playlist?id=2219028438
Uplifting Trance丨直击灵魂深处的电子音乐,55万,http://music.163.com/playlist?id=2218083370
「古风」霎是杏花雨又见千山雪,71万,http://music.163.com/playlist?id=2220703988
还记得你的梦想吗？别让你的梦只有想,421万,http://music.163.com/playlist?id=2219770152
安静细腻的欧美小调，献给失眠的你,72万,http://music.163.com/playlist?id=2220081292
毕业倒计时：时光里的伤心旅客,755万,http://music.163.com/playlist?id=2219538180
魔性Hook丨突然被这些女声洗了脑,174万,http://music.163.com/playlist?id=2219116947
混迹于霓虹国40年的复古节奏,27万,http://music.163.com/playlist?id=2217956735
华语 | 牵着时光衣襟，走进芳菲五月,279万,http://music.163.com/playlist?id=2218148426
感情变了质，等时间掩埋,186万,http://music.163.com/playlist?id=2215440866
T台节奏BGM•听完这单 谁还不是个超模咋地?,292万,http://music.163.com/playlist?id=2216189440
呼吸音乐中夏日的味道【Kobalt精编】,22万,http://music.163.com/playlist?id=2220469952
【日系】如何感谢你，赐予我生命,19万,http://music.163.com/playlist?id=2219495346
防弹少年团BTS出道以来所有歌曲完整合辑,15万,http://music.163.com/playlist?id=2208664380
二次演绎｜爵士与萌元素的浪漫邂逅,43万,http://music.163.com/playlist?id=2208755736
你爱她的每一天，都是母亲节,34万,http://music.163.com/playlist?id=2221598108
你的青春里有没有属于你的一首歌？,1242万,http://music.163.com/playlist?id=2201879658
伤心的时候，来这里偷偷听着哭吧。,148万,http://music.163.com/playlist?id=2199699508
你离开以后，我将自己活成了你的样子,286万,http://music.163.com/playlist?id=2205731441
「让宝宝一秒入睡的哄睡神曲」,23万,http://music.163.com/playlist?id=2216962972
倾听100部电影，爱情的美丽与哀愁,350万,http://music.163.com/playlist?id=2203603614
⚡️18年4月新热电音推送,122万,http://music.163.com/playlist?id=2203423972
[ACG抒情]那些温柔 令人心碎,109万,http://music.163.com/playlist?id=2200464560
夏天快要过去，牵你手买冰淇淋,446万,http://music.163.com/playlist?id=2199015597
当进击节奏迷之出彩旋律Drum&Bass/Dubstep,394万,http://music.163.com/playlist?id=2202058359
难道六岁的我 就不能为爱流一次眼泪吗,44万,http://music.163.com/playlist?id=2203183914
Summer Time·一股清流 安抚夏日燥热,273万,http://music.163.com/playlist?id=2211492602
绿荫之日——轻快悠闲纯音小调,22万,http://music.163.com/playlist?id=2200232865
就想傻傻看着你，谁叫我喜欢你,17万,http://music.163.com/playlist?id=2201595918
EDC China•音乐节现场歌单,41万,http://music.163.com/playlist?id=2206105962
重逢是始料未及丨回首又见你 流星花园,435万,http://music.163.com/playlist?id=2202374751
纯音丨指尖黑白琴键 弹尽人间绚烂,29万,http://music.163.com/playlist?id=2208701304
R3HAB Summer 2018 Playlist,97万,http://music.163.com/playlist?id=2212809590
突然兴奋！唱见的电波时刻,48万,http://music.163.com/playlist?id=2202381769
点起一支烟，听一首粤语歌,340万,http://music.163.com/playlist?id=2197936899
韩国Moombahton 异域风情的魔性律动,49万,http://music.163.com/playlist?id=2216739277
细数那些值得单曲循环的英文歌,115万,http://music.163.com/playlist?id=2193563343
听罢这些电影旋律｜好似领略百感人生,251万,http://music.163.com/playlist?id=2190625773
"不如""乐""读——适合读书时听的古典音乐",120万,http://music.163.com/playlist?id=2192872919
【质感声音】别开口，怕从第一个音爱上你,94万,http://music.163.com/playlist?id=2202434071
「可爱培育室」boom~您的可爱正在迅速膨胀,99万,http://music.163.com/playlist?id=2208661396
「古风」笛子前奏，如春风拂过,198万,http://music.163.com/playlist?id=2188949054
『四大名著』中国古典文学的精品,152万,http://music.163.com/playlist?id=2193807890
聆听天使的歌唱┊独立精选集┊,70万,http://music.163.com/playlist?id=2212673272
治愈の歌｜想把这份温柔传达给你,36万,http://music.163.com/playlist?id=2215887111
『我需要你，我只需要你』,48万,http://music.163.com/playlist?id=2214962534
「初夏物语」树荫蝉响与夏日清凉,420万,http://music.163.com/playlist?id=2211544441
"男女合唱 | 跟我走吧, 我们去兴风作浪",113万,http://music.163.com/playlist?id=2212604129
想借夏天的风说，我喜欢你呀,257万,http://music.163.com/playlist?id=2203659217
岛·乐队集°台北夜空下的氤氲青年,86万,http://music.163.com/playlist?id=2194760666
『母亲节』电影里的微笑，记我们的母亲,230万,http://music.163.com/playlist?id=2211639277
风从袖中过的 是夏天啊,156万,http://music.163.com/playlist?id=2211610787
「2018」奔跑吧 第二季 BGM,35万,http://music.163.com/playlist?id=2192048784
摇摆系电音 | 对不起我们火星拒绝普通的摇,22万,http://music.163.com/playlist?id=2210941473
我最大的遗憾，是你的遗憾与我有关,820万,http://music.163.com/playlist?id=2201957752
给文艺的你一次悦耳的旅行,377万,http://music.163.com/playlist?id=2204529782
『韩语』补充点恋爱糖分喵～,27万,http://music.163.com/playlist?id=2206966142
如果我们能够久别重逢，我希望你别来无恙,309万,http://music.163.com/playlist?id=2208261223
陪你度过一个安静的时刻,123万,http://music.163.com/playlist?id=2202109892
三字的经 | 词牌名结构下的蒙太奇故事,119万,http://music.163.com/playlist?id=2209587132
[夕暮相伴]少女的温情依守,19万,http://music.163.com/playlist?id=2190868434
海岸森系唤醒 ·「future bass」,116万,http://music.163.com/playlist?id=2205950549
「华语」喜欢你只是我一个人的彳亍,388万,http://music.163.com/playlist?id=2200298188
“愿我们走进静谧的长夜”,52万,http://music.163.com/playlist?id=2206503282
夜深了｜听电影讲枕边故事,157万,http://music.163.com/playlist?id=2203927235
「清新歌谣」一场欢快的旅行,206万,http://music.163.com/playlist?id=2199769306
“我想你一定很忙 所以你看前三个字就好”,289万,http://music.163.com/playlist?id=2198844333
健身房高效燃脂音乐,53万,http://music.163.com/playlist?id=2192521004
「四季情诗」穿越四季的爱恋,136万,http://music.163.com/playlist?id=2203008288
嘻哈制药丨以黑泡为底，用jazz做药引,87万,http://music.163.com/playlist?id=2201281638
愿孤独的诗里都有旋律 民谣的梦里都有远方,164万,http://music.163.com/playlist?id=2201043757
复古流行 | Dance Back To The 80s,20万,http://music.163.com/playlist?id=2204313231
◢◤Avicii丨当一切都结束的时候再叫醒我,770万,http://music.163.com/playlist?id=2193725733
遇见你是我生命中最奇妙的际遇,116万,http://music.163.com/playlist?id=2200313877
花样年华：防弹少年团歌曲精选,46万,http://music.163.com/playlist?id=2201443336
想送你一颗长生不老的少女心,18万,http://music.163.com/playlist?id=2212739105
CityPop.泡沫都市,14万,http://music.163.com/playlist?id=2203753368
本宝宝终于找到了适合自己的BGM,455万,http://music.163.com/playlist?id=2190407615
轻电音集 | 星辰大海里的深夜伴侣,78万,http://music.163.com/playlist?id=2190542417
「古风」千金纵买相如赋，脉脉此情谁诉,49万,http://music.163.com/playlist?id=2202457913
比起说我爱你 我更希望有机会说我也爱你,351万,http://music.163.com/playlist?id=2191164733
人生无法重启 但你有这些歌曲,132万,http://music.163.com/playlist?id=2201216375
纯音丨相聚别离，都是刚刚好,44万,http://music.163.com/playlist?id=2194466842
Swing Jazz \ 复古摇摆,14万,http://music.163.com/playlist?id=2189138758
给最亲爱的自己：等一个温暖你的人,246万,http://music.163.com/playlist?id=2191164315
女孩子为什么要努力？,298万,http://music.163.com/playlist?id=2197746110
玩味节拍｜数学摇滚中的律动设计,13万,http://music.163.com/playlist?id=2200994050
┊Be A Poet┊失意孤独的人 每一个都是诗人,19万,http://music.163.com/playlist?id=2201899083
希望你有一个美丽的夏天，和我无关也没关系,156万,http://music.163.com/playlist?id=2193697570
日系丨清冽女毒『薄荷色少女心』,54万,http://music.163.com/playlist?id=2193033807
【创造101】最全参赛曲目及其BGM,62万,http://music.163.com/playlist?id=2195253696
Driving Time·一首节奏电音 带你去兜风,150万,http://music.163.com/playlist?id=2191566904
浪漫主义｜穿透灵魂的钢琴抒情曲,26万,http://music.163.com/playlist?id=2189488708
夏天到了 | 要不要提前备一个消暑单呢,95万,http://music.163.com/playlist?id=2189916695
[古典] 要么庸俗，要么孤独,12万,http://music.163.com/playlist?id=2195814755
日系 . 向孤独者献上深白色的花束,33万,http://music.163.com/playlist?id=2194679585
柠檬薄荷｜雨天的猫与少女,29万,http://music.163.com/playlist?id=2193067213
韩语R&B丨虚假的真实与模糊的清晰,38万,http://music.163.com/playlist?id=2203218351
与你赴约 | 你是我耳边永不退潮的海,86万,http://music.163.com/playlist?id=2201306206
当我的光曝在你身上，重逢就是一间暗室,230万,http://music.163.com/playlist?id=2199982529
瑞典音乐人Avicii离世，年仅28岁。,48万,http://music.163.com/playlist?id=2193790163
日系 丨 一调祥谧的温暖，一曲细腻的厚重,48万,http://music.163.com/playlist?id=2196589463
【日系】❀雨过花晴❀在最美的五月♪,21万,http://music.163.com/playlist?id=2208072437
闽南语丨原来也可以如此清新与情深,37万,http://music.163.com/playlist?id=2195453350
心尖上第一抹白月光,18万,http://music.163.com/playlist?id=2199874932
遇见你，是我所有美好故事的开始,47万,http://music.163.com/playlist?id=2196237365
华语唱作人 | 你如风来了又走 我心满了又空,108万,http://music.163.com/playlist?id=2191690039
电影丨《后来的我们》OST合集（导演:奶茶）,24万,http://music.163.com/playlist?id=2198627543
旅行|二十首歌讲尽旅途所有心情,15万,http://music.163.com/playlist?id=2197631811
五四 | 城市青年图鉴,171万,http://music.163.com/playlist?id=2195037934
致金牛 | 愿有人懂你的倔强与温柔,235万,http://music.163.com/playlist?id=2191454231
欧美 | Good Vibes Only,38万,http://music.163.com/playlist?id=2190380734
「末春清新向」提前感受海洋季风的海盐气息,17万,http://music.163.com/playlist?id=2205415024
就向流星许个心愿，以后我们都要快乐,213万,http://music.163.com/playlist?id=2191635912
【日语】以歌驱霾•笑迎明天,18万,http://music.163.com/playlist?id=2197570245
雕刻时光 重塑经典,69万,http://music.163.com/playlist?id=2192839055
音色美学｜那些孑然的电子音乐,13万,http://music.163.com/playlist?id=2191137595
地下电子跳舞音乐指南,33万,http://music.163.com/playlist?id=2196617560
博多酒屋｜爵士与都市传说的异闻录,22万,http://music.163.com/playlist?id=2193081402
『偶像练习生』各家自制应援曲,31万,http://music.163.com/playlist?id=2190390671
Vol. 48「新浪潮 未来俱乐部之声」,13万,http://music.163.com/playlist?id=2207464579
天使之音带你俯瞰梦幻之城【Kobalt精编】,36万,http://music.163.com/playlist?id=2202252198
【最爱金曲榜】人间四月天 烟雨的世界,54万,http://music.163.com/playlist?id=2192974488
你若微笑，我的世界就开始晴朗,38万,http://music.163.com/playlist?id=2190238280
大事发声Ⅰ歌里唱的都是人生,25万,http://music.163.com/playlist?id=2191434938
进击的次元！百首超燃动漫背景音乐,155万,http://music.163.com/playlist?id=2188389237
100个悲伤的瞬间，有没有你的心酸？,745万,http://music.163.com/playlist?id=2179646633
倾听自然 · 林涧细语,224万,http://music.163.com/playlist?id=2179792198
元气少女音丨沉溺于这场甜美梦境,185万,http://music.163.com/playlist?id=2188265841
致回不去的校园，致那美好的曾经,521万,http://music.163.com/playlist?id=2182683172
『国摇』五十支乐队五十种精神信仰,316万,http://music.163.com/playlist?id=2179431622
【Hip-Hop】西海岸精选,66万,http://music.163.com/playlist?id=2186166423
欢快小调 给百无聊赖的生活来支兴奋剂,313万,http://music.163.com/playlist?id=2182669327
日系| 有一种乐音，温暖一如被春日洗礼,61万,http://music.163.com/playlist?id=2185852585
后来的我们 唱着《后来》消失在人海,398万,http://music.163.com/playlist?id=2181695887
『百首韩语女声』也曾晴朗 落一身浅浅的伤,20万,http://music.163.com/playlist?id=2188304400
亲爱的，勇敢一点,177万,http://music.163.com/playlist?id=2183979013
第一眼就确认 我的余生都与你有关,90万,http://music.163.com/playlist?id=2170094176
比听CD更惊艳的日语live现场,51万,http://music.163.com/playlist?id=2185631022
向往的生活2第二季,32万,http://music.163.com/playlist?id=2184439176
节奏带感且时尚性感<100首Fashion BGM>,795万,http://music.163.com/playlist?id=2173059435
于时间的长廊上 你再也不等我,957万,http://music.163.com/playlist?id=2168895862
百部动画摇滚，百首经典旋律,184万,http://music.163.com/playlist?id=2174130269
「甜Rap」我的超能力是超级喜欢你ღ,27万,http://music.163.com/playlist?id=2177788266
【China】国人电音精品，这节奏不停歇,125万,http://music.163.com/playlist?id=2176013162
“长大应该是变得温柔，对全世界都温柔”,98万,http://music.163.com/playlist?id=2179751046
『古风』听梦不愿醒 便随你风月无际,127万,http://music.163.com/playlist?id=2171419444
熬夜和想你，我都该戒掉了,1251万,http://music.163.com/playlist?id=2163517726
【综艺】Heart Signal 第二季,19万,http://music.163.com/playlist?id=2164695804
絮语|即使真空不传声 宇宙也知道我想你,62万,http://music.163.com/playlist?id=2174407398
百首日系深情，献给我曾挚爱过的你,321万,http://music.163.com/playlist?id=2166790155
大广赛命题歌单,42万,http://music.163.com/playlist?id=2161675933
【日系&ACG】圣者与精灵共咏的契绊诗,33万,http://music.163.com/playlist?id=2181436358
我将深陷于单曲循环的魔咒 无法逃脱,246万,http://music.163.com/playlist?id=2182718903
"""多少人以朋友的名义爱着一个人? """,687万,http://music.163.com/playlist?id=2162749304
不怕汉子有文化，只怕他们有吉他,496万,http://music.163.com/playlist?id=2180739925
【女声控】天籁之音，声线美到窒息「七」,32万,http://music.163.com/playlist?id=2185087020
纯音丨雨是悲欢离合 雨是一生错过,62万,http://music.163.com/playlist?id=2184923682
「不嘈杂好心情发射器biu~」人生在世须尽欢,203万,http://music.163.com/playlist?id=2186807760
细数那些值得单曲循环的民谣,665万,http://music.163.com/playlist?id=2150055953
2018公告牌全球百大DJ/电音制作人！,440万,http://music.163.com/playlist?id=2153498917
华语电影台词对白｜念念有声,394万,http://music.163.com/playlist?id=2166181332
「怦然心动」喜欢你头发的淡淡西瓜味,706万,http://music.163.com/playlist?id=2182092714
后来，我们什么都有了，却没有了我们,461万,http://music.163.com/playlist?id=2181287762
繁华都市里的100个孤独旅人,362万,http://music.163.com/playlist?id=2161007233
『港片经典』江湖枪火，当年情风继续吹,91万,http://music.163.com/playlist?id=2188769072
如何优雅的做个没有感情的大人,404万,http://music.163.com/playlist?id=2156205051
『古风』烟白酒旗青，水村鱼市晴,62万,http://music.163.com/playlist?id=2186364976
⚡️18年3月新热电音推送,306万,http://music.163.com/playlist?id=2164977085
[ACG萌曲]百首傻白甜的欢脱小调,102万,http://music.163.com/playlist?id=2167718593
民谣情话‖多谢你做我平淡岁月里星辰,37万,http://music.163.com/playlist?id=2180914819
『电音故事』 从华夏文明的起源说起,15万,http://music.163.com/playlist?id=2184066432
「古风」藏在诗词里的歌名,375万,http://music.163.com/playlist?id=2157458176
细数香港金像奖最佳原创电影歌曲,32万,http://music.163.com/playlist?id=2187834515
第五人格游戏原声音乐,22万,http://music.163.com/playlist?id=2183446622
「日系」想和你一样做个明媚的人,47万,http://music.163.com/playlist?id=2180822480
这就是街舞BGM(5月13日)点开图片有详细歌单,27万,http://music.163.com/playlist?id=2150301107
小楼一夜听春雨，深巷明朝卖杏花,153万,http://music.163.com/playlist?id=2181755353
EDC CHINA 2018 | 这些电音大神要来中国啦,298万,http://music.163.com/playlist?id=2157706591
欧美丨轻快的节奏不自觉的律动,41万,http://music.163.com/playlist?id=2183062788
